experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg,meta_predicted_best,meta_convergence_score
resnet_skip_study_r3,G30_no_skip,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,0,42,13.607940,3.122840,842.583374,3353865.250000,0.809258,0.721312,1.861491,24668160,35.17,33,False,False,ReLU,EARLY_STOPPED,13.68047428,15.97730255,10.33876896,22,1.167891,False,"[""102.27144623"", ""66.48103333"", ""30.43971443"", ""28.22768784"", ""21.58189011"", ""17.91749001"", ""18.71401978"", ""18.49917221"", ""17.81455040"", ""15.96716404"", ""14.91349602"", ""16.01992035"", ""15.34819794"", ""14.39038754"", ""14.07511520"", ""14.06339645"", ""13.89417648"", ""15.09821987"", ""14.00010586"", ""14.22502613"", ""13.90601254"", ""13.72443390"", ""13.68047428"", ""15.35871029"", ""17.44390488"", ""15.67999077"", ""16.72819901"", ""14.90656567"", ""15.31445503"", ""14.35988140"", ""15.95642567"", ""14.77637482"", ""15.97730255""]",3,Generic,0,none,,
resnet_skip_study_r3,G30_no_skip,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,1,43,13.666161,3.173713,846.403687,3333842.000000,0.817440,0.725888,1.869342,24668160,41.55,39,False,False,ReLU,EARLY_STOPPED,13.64920425,14.99149990,10.84519482,28,1.098342,False,"[""91.01242065"", ""42.63587189"", ""32.09545135"", ""21.57979393"", ""19.66068077"", ""19.00011063"", ""15.52377129"", ""15.40320110"", ""15.16657925"", ""15.21587944"", ""15.55627823"", ""16.65215874"", ""15.56315804"", ""14.44519043"", ""14.38381100"", ""14.37907982"", ""14.52291203"", ""14.55264854"", ""15.82365990"", ""15.53792381"", ""14.48419571"", ""14.22301865"", ""14.32046700"", ""14.36081219"", ""13.99765873"", ""13.94372463"", ""13.78444862"", ""14.03050041"", ""13.64920425"", ""14.30922127"", ""14.70692635"", ""13.92199707"", ""13.67623615"", ""14.05743313"", ""14.74195385"", ""13.74069118"", ""14.27905750"", ""15.65855122"", ""14.99149990""]",3,Generic,0,none,,
resnet_skip_study_r3,G30_no_skip,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,2,44,13.499334,3.093773,833.194336,3277265.000000,0.802278,0.714673,1.864288,24668160,43.11,43,False,False,ReLU,EARLY_STOPPED,13.58016396,13.80678844,9.72457123,32,1.016688,False,"[""79.83710480"", ""41.30694962"", ""32.78578949"", ""25.71682549"", ""20.40992546"", ""18.20469284"", ""15.69309616"", ""21.29393959"", ""16.34694481"", ""15.35422039"", ""15.42797947"", ""17.78368950"", ""16.79128456"", ""16.63458633"", ""15.50302219"", ""15.71867943"", ""15.38746643"", ""15.59030342"", ""14.24804878"", ""14.12905312"", ""14.23053360"", ""14.29749012"", ""14.44435883"", ""14.58545971"", ""14.18634796"", ""14.25191021"", ""15.25176811"", ""14.16432095"", ""13.67454338"", ""14.11374187"", ""14.25129795"", ""14.36203384"", ""13.58016396"", ""13.78374290"", ""14.19590759"", ""14.34365654"", ""13.83563614"", ""13.58351803"", ""13.90359211"", ""14.27869606"", ""13.64987087"", ""13.66892624"", ""13.80678844""]",3,Generic,0,none,,
resnet_skip_study_r3,G30_no_skip,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,3,45,13.741549,3.149851,840.340332,3333947.750000,0.816744,0.737839,1.937484,24668160,44.73,44,False,False,ReLU,EARLY_STOPPED,13.72825813,14.36869526,9.77697182,33,1.046651,False,"[""86.00759888"", ""34.17480469"", ""24.49685860"", ""24.44943810"", ""23.01999664"", ""19.40814400"", ""25.21089935"", ""22.44078255"", ""18.59303665"", ""21.91723824"", ""21.76069832"", ""17.64917374"", ""17.65684891"", ""16.47698402"", ""18.38129807"", ""15.08505344"", ""14.93230724"", ""15.76505280"", ""14.32419682"", ""14.48855209"", ""13.99967766"", ""14.24676895"", ""13.94284534"", ""14.30086994"", ""14.10893631"", ""14.72813892"", ""13.82121563"", ""13.94911671"", ""14.95649052"", ""14.22432041"", ""14.15322018"", ""13.90933323"", ""13.94392300"", ""13.72825813"", ""13.73854256"", ""14.02670765"", ""13.93493843"", ""15.40219307"", ""13.92613316"", ""14.03955555"", ""15.09731960"", ""14.26500511"", ""14.36622715"", ""14.36869526""]",3,Generic,0,none,,
resnet_skip_study_r3,G30_no_skip,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,4,46,13.569927,3.146665,840.854858,3315175.250000,0.811092,0.723103,1.874187,24668160,39.43,38,False,False,ReLU,EARLY_STOPPED,13.65863419,15.02520275,9.48230553,27,1.100052,False,"[""99.70391083"", ""53.57442474"", ""30.95528603"", ""27.01661682"", ""20.80688858"", ""21.25096703"", ""16.58357620"", ""17.39916420"", ""17.09433746"", ""19.13179970"", ""16.89467239"", ""16.49329185"", ""15.06858063"", ""14.79965115"", ""15.49361992"", ""15.82207298"", ""15.97235298"", ""15.20100784"", ""15.04743385"", ""14.49260712"", ""14.72022533"", ""15.57877064"", ""14.20326042"", ""13.96625042"", ""14.04912186"", ""13.76148891"", ""13.93177700"", ""13.65863419"", ""13.76094532"", ""13.81577682"", ""13.68165207"", ""13.69327450"", ""13.72577572"", ""13.73668766"", ""13.88850307"", ""13.96392632"", ""14.42525101"", ""15.02520275""]",3,Generic,0,none,,
resnet_skip_study_r3,G30_skip10_learn,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,0,42,13.428604,3.067692,825.955017,3223580.000000,0.796832,0.710912,1.848850,24668161,60.13,60,False,False,ReLU,EARLY_STOPPED,13.56907082,14.00775719,9.01630306,49,1.032330,False,"[""103.31613159"", ""68.05883026"", ""59.52715302"", ""52.92613220"", ""48.98678970"", ""50.33316422"", ""48.29150391"", ""46.86784744"", ""46.44774628"", ""47.43742752"", ""46.26283264"", ""45.15570068"", ""46.19371033"", ""45.83266449"", ""45.11640549"", ""45.26888275"", ""42.78681946"", ""18.55940437"", ""18.97526741"", ""20.03420830"", ""17.74099541"", ""14.26036167"", ""15.73747444"", ""14.30164146"", ""15.31840801"", ""14.42724895"", ""14.19609070"", ""14.56719017"", ""14.51894474"", ""13.92511654"", ""13.92415714"", ""13.93516541"", ""14.20796299"", ""13.68355751"", ""13.73247242"", ""14.34463215"", ""14.03135014"", ""13.82939529"", ""13.68316460"", ""14.30473328"", ""14.29282570"", ""13.72680473"", ""13.69533730"", ""14.22514629"", ""14.23392487"", ""13.62289238"", ""13.80482101"", ""14.07840443"", ""14.16636658"", ""13.56907082"", ""13.63689137"", ""14.06508732"", ""13.91428757"", ""13.58683681"", ""13.58563137"", ""14.48590183"", ""13.92327881"", ""13.69318104"", ""13.66506290"", ""14.00775719""]",3,Generic,10,learnable,,
resnet_skip_study_r3,G30_skip10_learn,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,1,43,13.868016,3.233479,862.679932,3437330.500000,0.831135,0.743741,1.923726,24668161,32.37,30,False,False,ReLU,EARLY_STOPPED,13.78956223,13.96486568,9.63865376,19,1.012713,False,"[""91.54926300"", ""42.39901733"", ""31.26986885"", ""21.48488808"", ""26.26806259"", ""29.65790939"", ""21.11952019"", ""21.81089592"", ""17.86856461"", ""17.83811378"", ""15.25023460"", ""14.80319595"", ""14.76815796"", ""14.53445148"", ""14.39342690"", ""15.15197563"", ""14.30248070"", ""14.22744560"", ""14.61850643"", ""13.78956223"", ""13.90241051"", ""15.21940041"", ""15.49337101"", ""15.19705391"", ""14.02481556"", ""14.45058727"", ""14.92377949"", ""14.14218521"", ""14.28991699"", ""13.96486568""]",3,Generic,10,learnable,,
resnet_skip_study_r3,G30_skip10_learn,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,2,44,13.483795,3.090278,830.198303,3258663.750000,0.801362,0.716574,1.877002,24668161,45.75,45,False,False,ReLU,EARLY_STOPPED,13.65849209,14.61814785,9.70710850,34,1.070261,False,"[""70.35155487"", ""42.04966354"", ""28.76298714"", ""27.30280685"", ""18.27191734"", ""17.07388115"", ""18.39884758"", ""15.67492771"", ""15.34700680"", ""19.66782379"", ""17.77475357"", ""14.96489811"", ""14.47515583"", ""17.38393402"", ""14.59934521"", ""14.27495003"", ""14.36915112"", ""16.42927170"", ""15.76364803"", ""15.50967979"", ""14.57884407"", ""14.86017227"", ""14.29617023"", ""14.88957977"", ""14.03892899"", ""14.41977406"", ""15.47600174"", ""14.23942757"", ""14.97357082"", ""14.18951130"", ""13.80453968"", ""13.89112949"", ""14.68097591"", ""13.99065208"", ""13.65849209"", ""13.73113060"", ""14.29473782"", ""14.10305691"", ""13.72588825"", ""13.98080063"", ""15.54833031"", ""14.51848412"", ""15.17154789"", ""13.77432346"", ""14.61814785""]",3,Generic,10,learnable,,
resnet_skip_study_r3,G30_skip10_learn,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,3,45,13.490498,3.109883,833.947449,3268530.250000,0.804034,0.716564,1.852064,24668161,60.06,59,False,False,ReLU,EARLY_STOPPED,13.58652592,14.36711311,9.27272701,48,1.057453,False,"[""87.15705109"", ""34.60368347"", ""27.15446281"", ""25.85643387"", ""21.84644127"", ""22.96931267"", ""18.53110123"", ""21.22259903"", ""16.71928787"", ""16.79600334"", ""15.47471428"", ""14.89861107"", ""15.92646503"", ""15.16279316"", ""14.72723770"", ""14.77010822"", ""14.04839706"", ""14.25864983"", ""14.20884418"", ""14.19217300"", ""15.46207333"", ""14.78697395"", ""14.97483826"", ""13.81370544"", ""14.02994251"", ""14.02150249"", ""16.21350861"", ""14.08498192"", ""13.74089718"", ""14.91054726"", ""13.99453163"", ""13.73865318"", ""14.29126740"", ""14.31420135"", ""14.55586720"", ""13.81427765"", ""13.68066025"", ""14.24261665"", ""14.44721508"", ""13.68298244"", ""13.73252487"", ""14.28676128"", ""14.18189240"", ""13.64858532"", ""13.62659550"", ""14.37665176"", ""14.30023193"", ""13.61678028"", ""13.58652592"", ""14.20468235"", ""14.49115181"", ""13.61806297"", ""13.60503769"", ""14.07435226"", ""14.12904453"", ""13.63125515"", ""13.61750698"", ""14.14496231"", ""14.36711311""]",3,Generic,10,learnable,,
resnet_skip_study_r3,G30_skip10_learn,generic_legacy,['Generic'],Yearly,1,6,30,30,1,True,4,46,13.992627,3.238278,859.774353,3346195.000000,0.835552,0.744599,1.923682,24668161,29.44,27,False,False,ReLU,EARLY_STOPPED,14.08549213,15.66447926,10.54427147,16,1.112100,False,"[""99.76448822"", ""51.42169952"", ""30.33406067"", ""26.34144211"", ""22.00478554"", ""20.32507515"", ""20.63059807"", ""17.32350159"", ""17.81509781"", ""18.23919678"", ""15.44123745"", ""15.36753654"", ""16.46079063"", ""14.85407925"", ""14.43966198"", ""14.28707504"", ""14.08549213"", ""14.29107380"", ""14.12806511"", ""14.77500439"", ""16.19737625"", ""14.79869175"", ""17.96069717"", ""15.90634918"", ""18.41790771"", ""15.06533051"", ""15.66447926""]",3,Generic,10,learnable,,
