experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,latent_dim_cfg,thetas_dim_cfg
ae_pure_r1,GenericAE_ld8_td5_ag0,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,0,42,20.448685,5.640679,1236.632935,4608990.000000,1.335346,1.369600,5.343008,1623120,256,5.64,8,False,False,ReLU,MAX_EPOCHS,21.12385559,21.12385559,14.74869728,7,1.000000,False,"[""47.88377762"", ""28.88581848"", ""27.53973007"", ""36.88849258"", ""24.24710655"", ""22.26056862"", ""23.77525902"", ""21.12385559""]",1,GenericAE,8,5
ae_pure_r1,GenericAE_ld8_td5_ag0,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,1,43,18.740276,4.840168,1121.546143,4346295.500000,1.182357,1.156346,4.080496,1623120,256,5.12,8,False,False,ReLU,MAX_EPOCHS,20.67940140,21.01184845,13.19879913,6,1.016076,False,"[""36.82381058"", ""34.34172821"", ""29.55072594"", ""41.34735870"", ""22.63619423"", ""21.49607658"", ""20.67940140"", ""21.01184845""]",1,GenericAE,8,5
ae_pure_r1,GenericAE_ld8_td5_ag0,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,2,44,18.928833,5.083774,1121.320068,4169412.250000,1.218776,1.277360,5.185237,1623120,256,5.18,8,False,False,ReLU,MAX_EPOCHS,19.09415817,19.09415817,13.78192902,7,1.000000,False,"[""47.13189697"", ""29.26917076"", ""25.21065140"", ""38.77684021"", ""24.09740829"", ""22.96623421"", ""20.43412018"", ""19.09415817""]",1,GenericAE,8,5
ae_pure_r1,GenericAE_ld8_td5_agF,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,0,42,18.075216,4.776311,1089.018799,4034800.750000,1.153975,1.157778,4.064341,1623120,256,5.21,8,forecast,False,ReLU,MAX_EPOCHS,18.52018166,18.52018166,14.94015884,7,1.000000,False,"[""39.77809143"", ""30.78869247"", ""26.12154388"", ""30.11290169"", ""22.04324532"", ""20.99858475"", ""19.45950317"", ""18.52018166""]",1,GenericAE,8,5
ae_pure_r1,GenericAE_ld8_td5_agF,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,1,43,19.668440,5.401662,1194.832397,4433545.000000,1.281401,1.348108,5.497034,1623120,256,5.20,8,forecast,False,ReLU,MAX_EPOCHS,19.99047089,19.99047089,15.28983307,7,1.000000,False,"[""37.90934372"", ""33.15874481"", ""27.46604919"", ""35.22612762"", ""23.19136047"", ""22.37078476"", ""22.35788727"", ""19.99047089""]",1,GenericAE,8,5
ae_pure_r1,GenericAE_ld8_td5_agF,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,2,44,20.795465,5.843146,1236.608154,4635957.500000,1.371430,1.478953,7.010053,1623120,256,5.27,8,forecast,False,ReLU,MAX_EPOCHS,20.85305786,20.85305786,16.74651909,7,1.000000,False,"[""37.88834000"", ""33.36709595"", ""25.95948029"", ""32.03289413"", ""24.03915787"", ""23.17648315"", ""22.32721329"", ""20.85305786""]",1,GenericAE,8,5
ae_pure_r1,GenericAE_ld16_td5_ag0,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,0,42,18.252090,4.666467,1087.226318,4245248.500000,1.145566,1.100595,3.578277,1664160,256,5.26,8,False,False,ReLU,MAX_EPOCHS,19.95257950,19.95257950,14.76127911,7,1.000000,False,"[""53.03413773"", ""28.83955193"", ""27.64097214"", ""26.29442596"", ""24.31228447"", ""23.66696548"", ""21.25044632"", ""19.95257950""]",1,GenericAE,16,5
ae_pure_r1,GenericAE_ld16_td5_ag0,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,1,43,17.884758,4.542841,1043.093872,3916009.250000,1.118773,1.037371,3.275617,1664160,256,5.27,8,False,False,ReLU,MAX_EPOCHS,19.28488731,19.28488731,18.59341812,7,1.000000,False,"[""38.03180313"", ""28.92767715"", ""26.73270988"", ""24.88741493"", ""21.20547104"", ""20.95102310"", ""20.83321381"", ""19.28488731""]",1,GenericAE,16,5
ae_pure_r1,GenericAE_ld16_td5_ag0,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,2,44,19.531336,5.080339,1164.469360,4523903.500000,1.236778,1.132365,3.550679,1664160,256,5.16,8,False,False,ReLU,MAX_EPOCHS,21.51343346,21.62041283,15.85427189,6,1.004973,False,"[""53.61223984"", ""28.79208755"", ""27.53203583"", ""40.00036621"", ""23.56678772"", ""21.53417587"", ""21.51343346"", ""21.62041283""]",1,GenericAE,16,5
ae_pure_r1,GenericAE_ld16_td5_agF,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,0,42,19.099691,5.196686,1153.908813,4333321.500000,1.238210,1.290162,5.171747,1664160,256,5.24,8,forecast,False,ReLU,MAX_EPOCHS,19.38150024,19.38150024,13.75634480,7,1.000000,False,"[""39.30007935"", ""30.60735130"", ""25.92601013"", ""32.98217010"", ""22.01475143"", ""22.40547371"", ""19.70140648"", ""19.38150024""]",1,GenericAE,16,5
