experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg,meta_predicted_best,meta_convergence_score
resnet_skip_study_r3,TW16_no_skip,trendwav_baseline,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,16,1,True,2,44,21.795464,3.119512,103259.171875,1151711576064.000000,nan,1.368289,14.939878,1444120,2.51,47,False,False,ReLU,EARLY_STOPPED,25.61475945,25.91186714,31.09676743,36,1.011599,False,"[""148.45060730"", ""103.64184570"", ""69.31472778"", ""46.69768524"", ""37.94981003"", ""38.64326477"", ""38.38787842"", ""35.38682175"", ""31.72574425"", ""31.40557098"", ""31.11034012"", ""29.94566917"", ""29.68280411"", ""29.11649132"", ""28.77030373"", ""28.14509010"", ""27.23647881"", ""26.67906570"", ""26.55637360"", ""26.26702499"", ""27.17446136"", ""27.67787933"", ""27.50455475"", ""27.37435150"", ""27.25209808"", ""26.59561539"", ""26.43966293"", ""26.40788269"", ""26.32715607"", ""25.96184540"", ""25.68714905"", ""25.65221405"", ""25.77746582"", ""26.00723839"", ""26.03955841"", ""25.90189934"", ""25.61475945"", ""25.99267960"", ""26.22737885"", ""26.02200127"", ""25.76540184"", ""25.91928482"", ""26.17406464"", ""26.37144089"", ""26.21567154"", ""25.83962631"", ""25.91186714""]",3,TrendAELG_WaveletV3AELG,0,none,,
resnet_skip_study_r3,TW16_no_skip,trendwav_baseline,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,16,1,True,3,45,21.361185,3.097557,106818.781250,1186682109952.000000,nan,1.345011,15.506218,1444120,2.18,41,False,False,ReLU,EARLY_STOPPED,24.90401459,25.05966377,31.16253090,30,1.006250,False,"[""105.38773346"", ""63.88610840"", ""39.90670013"", ""34.56212234"", ""35.13655853"", ""32.72891235"", ""29.63010025"", ""30.08058167"", ""29.89834595"", ""30.74934769"", ""31.75000763"", ""31.16326904"", ""29.74506950"", ""28.41193390"", ""27.75988579"", ""26.51240158"", ""26.07155418"", ""26.15296555"", ""25.82828140"", ""26.12690353"", ""26.22282791"", ""25.64956474"", ""25.29993057"", ""25.25564766"", ""25.01135254"", ""25.40050507"", ""25.67141914"", ""25.44887352"", ""25.09156799"", ""24.94244957"", ""24.90401459"", ""25.06973648"", ""25.20903969"", ""25.13194084"", ""25.03921890"", ""25.04429245"", ""25.03364182"", ""25.11016464"", ""25.09562111"", ""25.07483673"", ""25.05966377""]",3,TrendAELG_WaveletV3AELG,0,none,,
resnet_skip_study_r3,TW16_no_skip,trendwav_baseline,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,16,1,True,4,46,21.518156,3.092862,106072.898438,1134364590080.000000,nan,1.362125,15.389448,1444120,2.96,53,False,False,ReLU,EARLY_STOPPED,24.95230865,25.62646866,31.34964371,42,1.027018,False,"[""136.71466064"", ""90.61341095"", ""54.69865799"", ""37.24981689"", ""39.54394150"", ""41.78195190"", ""39.57347107"", ""35.63293076"", ""33.00576782"", ""32.33336639"", ""31.90424728"", ""32.25858688"", ""31.77744484"", ""29.95583725"", ""29.67023849"", ""29.69765663"", ""29.39871216"", ""28.36218834"", ""27.58003235"", ""28.44946289"", ""29.10913467"", ""28.25471115"", ""27.13389015"", ""27.63351250"", ""28.32566833"", ""28.45476532"", ""27.52283287"", ""26.50079727"", ""26.52276421"", ""26.53912354"", ""26.33920097"", ""26.26443291"", ""25.85635757"", ""25.30401421"", ""25.12546158"", ""25.46323586"", ""25.30792999"", ""25.10039139"", ""25.36638451"", ""25.59810257"", ""25.36429214"", ""25.02733994"", ""24.95230865"", ""25.25916481"", ""25.25490189"", ""25.07465553"", ""25.21811104"", ""25.42993736"", ""25.43235397"", ""25.23861504"", ""25.31243324"", ""25.60729980"", ""25.62646866""]",3,TrendAELG_WaveletV3AELG,0,none,,
resnet_skip_study_r3,TW8_skip4_learn,trendwav_control,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,8,1,True,0,42,21.530325,3.121413,131228.984375,1852752134144.000000,nan,1.425146,21.748798,722061,1.41,34,False,False,ReLU,EARLY_STOPPED,25.47842598,25.58278656,31.70698929,23,1.004096,False,"[""150.41551208"", ""115.57458496"", ""84.79296875"", ""58.62643814"", ""40.53773880"", ""34.23029327"", ""36.26052475"", ""37.46819305"", ""35.97094345"", ""33.14802170"", ""31.13167572"", ""30.89049721"", ""30.87537003"", ""30.30131721"", ""29.73376274"", ""29.58824348"", ""29.25596619"", ""28.24884415"", ""27.30975533"", ""26.86363411"", ""26.81701851"", ""26.51916695"", ""25.87879944"", ""25.47842598"", ""25.64093208"", ""25.74740601"", ""26.03713608"", ""26.54402542"", ""26.77408218"", ""26.53955841"", ""26.10943222"", ""25.81090927"", ""25.63609123"", ""25.58278656""]",3,TrendAELG_WaveletV3AELG,4,learnable,,
resnet_skip_study_r3,TW8_skip4_learn,trendwav_control,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,8,1,True,1,43,21.428144,3.075832,109292.398438,1248578895872.000000,nan,1.344781,15.433199,722061,1.72,41,False,False,ReLU,EARLY_STOPPED,24.95352173,25.23503304,31.26025200,30,1.011281,False,"[""153.44894409"", ""115.71676636"", ""83.09580231"", ""55.99719238"", ""38.05046463"", ""34.84992981"", ""37.62420654"", ""38.17343903"", ""36.18128204"", ""33.14941406"", ""31.31354523"", ""31.04725838"", ""30.69821548"", ""30.03898811"", ""29.77631378"", ""29.76246834"", ""29.58312035"", ""28.82758713"", ""28.19944382"", ""27.87285423"", ""27.47838593"", ""27.25392914"", ""26.98453712"", ""26.50797272"", ""26.18763351"", ""25.96200371"", ""25.74227524"", ""25.48081207"", ""25.23405457"", ""25.08012581"", ""24.95352173"", ""24.98786545"", ""25.07191658"", ""25.10553932"", ""25.11872292"", ""25.11700058"", ""25.20425987"", ""25.17948151"", ""25.06533623"", ""25.09549904"", ""25.23503304""]",3,TrendAELG_WaveletV3AELG,4,learnable,,
resnet_skip_study_r3,TW8_skip4_learn,trendwav_control,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,8,1,True,2,44,21.161770,3.060713,101852.273438,1034346758144.000000,nan,1.320541,13.486474,722061,1.81,46,False,False,ReLU,EARLY_STOPPED,25.36950493,25.55449295,30.98386765,35,1.007292,False,"[""156.96833801"", ""123.63967896"", ""93.48587799"", ""67.34260559"", ""47.82814407"", ""37.38702393"", ""36.58777237"", ""38.09121704"", ""37.58979416"", ""35.07991028"", ""32.09444427"", ""31.35440063"", ""31.71208763"", ""31.65922928"", ""31.43583298"", ""30.90287399"", ""29.88714218"", ""28.73883247"", ""27.91327858"", ""27.49167061"", ""26.94589996"", ""26.47270203"", ""26.39527702"", ""26.78155518"", ""26.78070068"", ""26.36269951"", ""26.14377785"", ""26.28514862"", ""26.20843697"", ""26.06180000"", ""26.09564018"", ""25.85744476"", ""25.55916023"", ""25.48287201"", ""25.43148613"", ""25.36950493"", ""25.43624306"", ""25.60731125"", ""25.67358398"", ""25.72201729"", ""25.80406380"", ""25.72989845"", ""25.72579384"", ""25.74695587"", ""25.59956360"", ""25.55449295""]",3,TrendAELG_WaveletV3AELG,4,learnable,,
resnet_skip_study_r3,TW8_skip4_learn,trendwav_control,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,8,1,True,3,45,21.273289,3.047226,96917.773438,898090008576.000000,nan,1.305644,11.883632,722061,1.99,48,False,False,ReLU,EARLY_STOPPED,25.11569023,25.24695396,31.16808891,37,1.005226,False,"[""148.13360596"", ""112.00141907"", ""82.50218964"", ""59.67016220"", ""44.57376480"", ""36.70770264"", ""34.39686203"", ""33.19468307"", ""31.57466888"", ""31.07293510"", ""31.11159897"", ""30.93099976"", ""30.85819435"", ""31.07561493"", ""30.84519577"", ""30.15675545"", ""29.38231277"", ""28.53805351"", ""27.88676834"", ""27.12660408"", ""26.83937836"", ""26.61323166"", ""26.52725029"", ""26.48403549"", ""26.12830734"", ""25.81580925"", ""25.89414787"", ""25.72600937"", ""25.49831772"", ""25.47621727"", ""25.39119148"", ""25.23556900"", ""25.25373650"", ""25.44631577"", ""25.50021744"", ""25.26417160"", ""25.15314293"", ""25.11569023"", ""25.31863785"", ""25.41857719"", ""25.31828308"", ""25.33899307"", ""25.37988091"", ""25.48025513"", ""25.40709114"", ""25.24913788"", ""25.24168777"", ""25.24695396""]",3,TrendAELG_WaveletV3AELG,4,learnable,,
resnet_skip_study_r3,TW8_skip4_learn,trendwav_control,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,8,1,True,4,46,21.113691,3.052218,110958.421875,1307676114944.000000,nan,1.347484,17.056376,722061,1.78,49,False,False,ReLU,EARLY_STOPPED,24.74168396,25.24389839,31.20977783,38,1.020298,False,"[""153.87905884"", ""116.85498810"", ""83.92195892"", ""56.54628754"", ""39.78979874"", ""36.90604019"", ""38.82317352"", ""38.37933350"", ""35.59795380"", ""32.39015579"", ""31.09227943"", ""30.65566444"", ""29.90323257"", ""29.44773674"", ""30.00933266"", ""30.32587814"", ""29.51448631"", ""28.39100075"", ""27.93644905"", ""27.78048897"", ""27.38836670"", ""26.52254677"", ""25.54313469"", ""25.48102188"", ""25.87014961"", ""25.72010994"", ""25.12010002"", ""24.97704887"", ""25.33751488"", ""25.44500732"", ""25.14241982"", ""25.30371475"", ""25.58140755"", ""25.34964943"", ""25.03738403"", ""25.10743141"", ""25.16535568"", ""24.91677666"", ""24.74168396"", ""24.82190514"", ""24.77524185"", ""24.84089279"", ""25.06133842"", ""25.11117744"", ""25.11897087"", ""25.15931702"", ""25.16876411"", ""25.27064133"", ""25.24389839""]",3,TrendAELG_WaveletV3AELG,4,learnable,,
resnet_skip_study_r3,TW16_skip4_a01,trendwav_depth_x_skip,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,16,1,True,0,42,21.457417,3.049428,88832.445312,727273963520.000000,nan,1.286226,10.672624,1444120,2.18,39,False,False,ReLU,EARLY_STOPPED,25.14611435,25.58745956,31.59183502,28,1.017551,False,"[""117.72176361"", ""69.60139465"", ""41.54102325"", ""38.02023697"", ""40.30746460"", ""38.66410065"", ""34.91550827"", ""31.69379616"", ""30.69964600"", ""30.11759758"", ""28.98792648"", ""27.95914078"", ""27.39514160"", ""28.74622726"", ""28.71379852"", ""27.81958199"", ""27.59049606"", ""27.14994621"", ""27.42997742"", ""27.35871124"", ""27.06314659"", ""26.77839088"", ""26.44123650"", ""26.00056267"", ""25.87377357"", ""26.02541733"", ""25.84881210"", ""25.42581940"", ""25.14611435"", ""25.57864761"", ""25.82134056"", ""25.62295151"", ""25.42700386"", ""25.35653114"", ""25.59774590"", ""25.81258774"", ""25.69958305"", ""25.52226257"", ""25.58745956""]",3,TrendAELG_WaveletV3AELG,4,0.1,,
resnet_skip_study_r3,TW16_skip4_a01,trendwav_depth_x_skip,"['TrendAELG', 'WaveletV3AELG']",Tourism-Yearly,1,4,8,16,1,True,1,43,21.263573,3.057863,106518.593750,1158048907264.000000,nan,1.344629,15.450531,1444120,2.59,48,False,False,ReLU,EARLY_STOPPED,25.11604691,25.80688286,30.83601570,37,1.027506,False,"[""104.32201385"", ""55.62739944"", ""37.47729492"", ""38.30033112"", ""37.96711731"", ""34.87838364"", ""31.90633965"", ""30.80267906"", ""29.81698608"", ""29.54860878"", ""29.70281792"", ""29.30442429"", ""28.19152260"", ""27.31826973"", ""27.09175682"", ""26.81970024"", ""26.30234718"", ""26.10124016"", ""26.10312080"", ""26.20365906"", ""26.62979126"", ""26.72107887"", ""26.19655418"", ""26.06835747"", ""26.00497627"", ""25.95329857"", ""25.69561386"", ""25.80604553"", ""25.94386101"", ""25.69957733"", ""25.15979767"", ""25.22169304"", ""25.39227676"", ""25.23066139"", ""25.12951469"", ""25.15610504"", ""25.11745071"", ""25.11604691"", ""25.13844109"", ""25.33126259"", ""25.46103287"", ""25.54623795"", ""25.56308556"", ""25.60581207"", ""25.58322334"", ""25.65072441"", ""25.71924973"", ""25.80688286""]",3,TrendAELG_WaveletV3AELG,4,0.1,,
