experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,latent_dim_cfg,thetas_dim_cfg
ae_pure_r1,BottleneckGenericAE_ld8_td10_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,66.965744,1.374928,20.049837,2671.053467,nan,0.536806,0.934064,1933620,256,80.72,8,forecast,False,ReLU,MAX_EPOCHS,45.50176239,45.65266800,56.76490021,6,1.003316,False,"[""58.78570557"", ""50.92048645"", ""49.31858063"", ""48.04317856"", ""46.91548920"", ""46.74701309"", ""45.50176239"", ""45.65266800""]",1,BottleneckGenericAE,8,10
ae_pure_r1,BottleneckGenericAE_ld2_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,68.448372,2.424888,31.887142,4884.538086,nan,0.911151,4.161370,1886820,256,80.56,8,False,False,ReLU,MAX_EPOCHS,49.54301834,49.54301834,59.82783508,7,1.000000,False,"[""82.59701538"", ""70.56629944"", ""64.78864288"", ""59.59926605"", ""57.92893600"", ""55.01668549"", ""51.60462570"", ""49.54301834""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld8_td10_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,68.870857,2.149213,26.250362,3847.469727,nan,0.879353,5.861056,1933620,256,78.75,8,False,False,ReLU,MAX_EPOCHS,47.99835587,47.99835587,58.31282043,7,1.000000,False,"[""83.10874176"", ""71.62910461"", ""66.30249023"", ""60.57031250"", ""56.06581879"", ""53.65687180"", ""50.35974503"", ""47.99835587""]",1,BottleneckGenericAE,8,10
ae_pure_r1,BottleneckGenericAE_ld2_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,72.407585,3.674684,36.648754,20420.443359,nan,1.464143,97.091751,1886820,256,78.44,8,False,False,ReLU,MAX_EPOCHS,53.50928497,53.50928497,63.68335342,7,1.000000,False,"[""94.76984406"", ""83.40644073"", ""78.34389496"", ""70.03668213"", ""66.88328552"", ""60.97508621"", ""58.70529938"", ""53.50928497""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld8_td10_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,71.981598,3.110660,33.669537,16907.169922,nan,1.331973,79.570374,1933620,256,78.39,8,False,False,ReLU,MAX_EPOCHS,52.32584381,52.32584381,62.68681335,7,1.000000,False,"[""81.41799927"", ""68.31963348"", ""64.61996460"", ""63.00041580"", ""60.61857224"", ""56.41109467"", ""53.94080353"", ""52.32584381""]",1,BottleneckGenericAE,8,10
ae_pure_r1,BottleneckGenericAE_ld2_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,74.011551,4.105015,40.660069,21566.851562,nan,1.651308,98.657158,1886820,256,77.60,8,False,False,ReLU,MAX_EPOCHS,54.65080643,54.65080643,64.17314148,7,1.000000,False,"[""96.36043549"", ""75.61759949"", ""66.52560425"", ""60.23934174"", ""57.15676117"", ""55.74968338"", ""55.36298752"", ""54.65080643""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld8_td10_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,73.341942,2.901561,29.963047,11872.166992,nan,1.228541,52.256390,1933620,256,77.34,8,False,False,ReLU,MAX_EPOCHS,52.72271729,52.72271729,62.98367310,7,1.000000,False,"[""91.53877258"", ""75.73543549"", ""71.55659485"", ""65.78205872"", ""59.67847443"", ""56.85202789"", ""55.17578125"", ""52.72271729""]",1,BottleneckGenericAE,8,10
ae_pure_r1,BottleneckGenericAE_ld2_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,69.425102,1.851362,28.585670,4351.483887,nan,0.734935,2.017780,1886820,256,79.68,8,forecast,False,ReLU,MAX_EPOCHS,47.25014114,47.25014114,58.40185165,7,1.000000,False,"[""54.45484161"", ""50.82682800"", ""50.25428391"", ""49.01620865"", ""48.51234055"", ""47.60873795"", ""47.92243576"", ""47.25014114""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld8_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,66.515434,1.500959,24.789751,3708.691650,nan,0.601846,1.252012,1917600,256,76.70,8,forecast,False,ReLU,MAX_EPOCHS,45.95042038,45.95042038,57.00561905,7,1.000000,False,"[""57.83078766"", ""50.61476898"", ""49.33291245"", ""47.97229004"", ""47.05699539"", ""46.88446045"", ""46.82012177"", ""45.95042038""]",1,BottleneckGenericAE,8,8
ae_pure_r1,BottleneckGenericAE_ld2_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,67.510033,1.650776,28.069283,4546.401855,nan,0.649731,1.532085,1886820,256,79.38,8,forecast,False,ReLU,MAX_EPOCHS,47.56507111,47.57320404,57.91819000,6,1.000171,False,"[""54.12491989"", ""51.15719986"", ""50.61589432"", ""49.50442886"", ""48.61104965"", ""48.98125458"", ""47.56507111"", ""47.57320404""]",1,BottleneckGenericAE,2,8
