experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,basis_dim,basis_offset,trend_thetas_dim_cfg,wavelet_family,bd_label,active_g_cfg,meta_predicted_best,meta_convergence_score
wavelet_trendae_search_r2_baseline,DB20_bd96_eq_fcast_ttd5,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,2,44,65.830437,1.251884,14.390569,2116.484131,nan,0.417374,0.434610,5226285,84.45,15,False,False,ReLU,MAX_EPOCHS,43.51369095,44.57880783,53.13514328,6,1.024478,False,"[""48.77552414"", ""45.98852539"", ""45.51684570"", ""44.33744049"", ""44.10527802"", ""43.70471573"", ""43.51369095"", ""44.63577271"", ""44.82012558"", ""44.50161743"", ""44.85060120"", ""45.05149078"", ""44.59757233"", ""44.38892746"", ""44.57880783""]",2,96,0,5,DB20WaveletV3,eq_fcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd94_lt_fcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,0,42,67.475372,1.134668,14.720362,2691.942627,nan,0.402966,0.317005,5213475,86.98,15,False,False,ReLU,EARLY_STOPPED,43.04229355,43.97479630,52.74608231,4,1.021665,False,"[""48.22105789"", ""45.69785690"", ""45.05570221"", ""44.02700806"", ""43.04229355"", ""43.87454605"", ""45.29304886"", ""43.47753143"", ""43.96819305"", ""44.63798141"", ""43.50044250"", ""43.53006744"", ""43.95036316"", ""44.00053406"", ""43.97479630""]",2,94,0,3,DB20WaveletV3,lt_fcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd94_lt_fcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,1,43,65.905586,1.071309,14.334037,2076.053711,nan,0.393222,0.324630,5213475,84.03,15,False,False,ReLU,MAX_EPOCHS,43.18077850,44.02244568,53.38635254,5,1.019492,False,"[""47.17233276"", ""44.72372437"", ""45.80127716"", ""45.60023117"", ""44.32495117"", ""43.18077850"", ""43.54575729"", ""43.43513870"", ""43.84919739"", ""43.71778488"", ""44.27422714"", ""44.41814804"", ""44.63671875"", ""44.79703522"", ""44.02244568""]",2,94,0,3,DB20WaveletV3,lt_fcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd192_eq_bcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,0,42,66.680725,1.264900,15.053731,2693.858643,nan,0.407257,0.424701,5469475,78.59,14,False,False,ReLU,EARLY_STOPPED,43.30193329,45.05539322,53.16043091,3,1.040494,False,"[""49.21653366"", ""43.62713242"", ""47.75550842"", ""43.30193329"", ""43.73103714"", ""43.58213425"", ""44.87353134"", ""44.80703735"", ""45.01010895"", ""44.57613754"", ""44.78276062"", ""44.43954468"", ""44.93898392"", ""45.05539322""]",2,192,0,3,DB20WaveletV3,eq_bcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd94_lt_fcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,2,44,66.556572,0.878061,14.819971,2634.718750,nan,0.338782,0.203308,5213475,86.50,15,False,False,ReLU,MAX_EPOCHS,43.40473557,44.26484680,53.26348495,5,1.019816,False,"[""47.69451141"", ""44.33552170"", ""45.30444717"", ""43.50786972"", ""44.09633636"", ""43.40473557"", ""44.94885635"", ""44.89781952"", ""44.84257126"", ""45.28273773"", ""45.14066696"", ""45.78042984"", ""44.96733856"", ""45.68425751"", ""44.26484680""]",2,94,0,3,DB20WaveletV3,lt_fcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd192_eq_bcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,1,43,66.724380,1.152405,17.490685,2576.441406,nan,0.398661,0.328234,5469475,73.51,13,False,False,ReLU,EARLY_STOPPED,43.75424194,44.51801300,52.91196823,2,1.017456,False,"[""47.31546021"", ""44.49193573"", ""43.75424194"", ""43.90441895"", ""44.84267426"", ""44.15024948"", ""44.52686691"", ""44.43898010"", ""43.99378967"", ""44.06454086"", ""44.16021729"", ""44.40813828"", ""44.51801300""]",2,192,0,3,DB20WaveletV3,eq_bcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd192_eq_bcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,2,44,67.466530,1.193447,16.444715,2871.155029,nan,0.459238,0.534956,5469475,81.32,14,False,False,ReLU,EARLY_STOPPED,42.90058136,45.00418091,53.40096283,3,1.049034,False,"[""47.55516815"", ""45.50053024"", ""44.79543686"", ""42.90058136"", ""43.40799332"", ""45.03227997"", ""44.27024460"", ""43.81828308"", ""43.85080719"", ""44.11273193"", ""44.45727539"", ""44.32778931"", ""43.96923065"", ""45.00418091""]",2,192,0,3,DB20WaveletV3,eq_bcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd192_eq_bcast_ttd5,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,0,42,66.479958,0.997214,15.648434,2531.319824,nan,0.387521,0.315418,5472045,79.49,14,False,False,ReLU,EARLY_STOPPED,43.15679169,44.90324783,53.91277695,3,1.040468,False,"[""48.82313919"", ""44.44777679"", ""44.42981339"", ""43.15679169"", ""44.29326630"", ""44.56978226"", ""44.86800003"", ""45.06484222"", ""44.96500397"", ""45.26200485"", ""45.19145203"", ""43.76589203"", ""43.87058640"", ""44.90324783""]",2,192,0,5,DB20WaveletV3,eq_bcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd192_eq_bcast_ttd5,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,1,43,66.592033,1.010136,16.592384,3256.339844,nan,0.372547,0.292533,5472045,81.06,14,False,False,ReLU,EARLY_STOPPED,43.28960800,43.96258163,52.84136963,3,1.015546,False,"[""48.13825607"", ""45.19567490"", ""44.30366898"", ""43.28960800"", ""43.29763794"", ""44.56898117"", ""43.58760071"", ""44.51994324"", ""46.15592194"", ""45.12873840"", ""44.66604614"", ""44.80244827"", ""44.44938278"", ""43.96258163""]",2,192,0,5,DB20WaveletV3,eq_bcast,False,,
wavelet_trendae_search_r2_baseline,DB20_bd192_eq_bcast_ttd5,wavelet_trendae_search_round2,"['TrendAE', 'DB20WaveletV3']",Weather-96,144,96,192,10,1,True,2,44,65.758987,1.040672,16.491934,2452.291992,nan,0.397763,0.351850,5472045,79.02,14,False,False,ReLU,EARLY_STOPPED,43.14325333,44.46908188,53.93406677,3,1.030731,False,"[""49.41207886"", ""45.18049622"", ""44.28496170"", ""43.14325333"", ""43.35174942"", ""45.81550598"", ""45.36016083"", ""44.12085342"", ""45.89244080"", ""44.58049011"", ""44.84738541"", ""46.02025604"", ""43.85926819"", ""44.46908188""]",2,192,0,5,DB20WaveletV3,eq_bcast,False,,
wavelet_trendae_search_r2_baseline,Coif1_bd96_eq_fcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'Coif1WaveletV3']",Weather-96,144,96,192,10,1,True,0,42,68.060394,1.075792,16.239597,2895.870850,nan,0.384740,0.266961,5223715,81.05,14,False,False,ReLU,EARLY_STOPPED,43.49467087,44.34951782,53.34364700,3,1.019654,False,"[""46.73895645"", ""44.26845169"", ""44.07608032"", ""43.49467087"", ""44.43301392"", ""44.36410141"", ""43.82330322"", ""44.86425781"", ""44.60309601"", ""43.76198196"", ""43.74406433"", ""43.76931000"", ""43.86143494"", ""44.34951782""]",2,96,0,3,Coif1WaveletV3,eq_fcast,False,,
wavelet_trendae_search_r2_baseline,Coif1_bd96_eq_fcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'Coif1WaveletV3']",Weather-96,144,96,192,10,1,True,2,44,67.210907,1.290340,14.428880,1841.671143,nan,0.434399,0.544141,5223715,68.94,12,False,False,ReLU,EARLY_STOPPED,43.44954300,45.19615555,53.15496826,1,1.040199,False,"[""48.18305206"", ""43.44954300"", ""43.59620667"", ""43.99865723"", ""43.71715927"", ""44.98240280"", ""45.08899307"", ""43.48387909"", ""45.92710876"", ""44.99660873"", ""44.54856110"", ""45.19615555""]",2,96,0,3,Coif1WaveletV3,eq_fcast,False,,
wavelet_trendae_search_r2_baseline,Coif1_bd96_eq_fcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'Coif1WaveletV3']",Weather-96,144,96,192,10,1,True,1,43,66.986412,1.038468,15.359801,2528.409912,nan,0.389836,0.284018,5223715,85.44,15,False,False,ReLU,MAX_EPOCHS,43.34154510,45.68342972,54.45763016,5,1.054033,False,"[""46.09955978"", ""45.66942978"", ""46.51486206"", ""44.73514175"", ""44.06265640"", ""43.34154510"", ""44.34098434"", ""44.34618378"", ""44.19966507"", ""44.62675095"", ""44.20843506"", ""45.27978516"", ""44.84040451"", ""43.86003494"", ""45.68342972""]",2,96,0,3,Coif1WaveletV3,eq_fcast,False,,
wavelet_trendae_search_r2_baseline,Coif1_bd96_eq_fcast_ttd5,wavelet_trendae_search_round2,"['TrendAE', 'Coif1WaveletV3']",Weather-96,144,96,192,10,1,True,0,42,64.370529,1.161945,12.840513,1692.528076,nan,0.388954,0.385013,5226285,86.60,15,False,False,ReLU,MAX_EPOCHS,43.22136688,44.80823898,53.06612778,8,1.036715,False,"[""47.68238449"", ""44.75551224"", ""43.40482330"", ""44.19997787"", ""44.96092606"", ""43.28190994"", ""43.27942276"", ""44.05952072"", ""43.22136688"", ""44.72544479"", ""44.90759277"", ""45.37467957"", ""45.75241089"", ""45.16871262"", ""44.80823898""]",2,96,0,5,Coif1WaveletV3,eq_fcast,False,,
wavelet_trendae_search_r2_baseline,Coif1_bd96_eq_fcast_ttd5,wavelet_trendae_search_round2,"['TrendAE', 'Coif1WaveletV3']",Weather-96,144,96,192,10,1,True,1,43,65.482788,1.516323,17.352800,2157.287842,nan,0.552658,0.924578,5226285,84.93,15,False,False,ReLU,EARLY_STOPPED,43.73791122,45.19136047,53.31195450,4,1.033231,False,"[""49.78816605"", ""47.36190414"", ""46.06305695"", ""44.10116196"", ""43.73791122"", ""44.84814835"", ""44.77846909"", ""45.03970337"", ""43.84796906"", ""44.22420120"", ""43.88533401"", ""44.28101349"", ""43.98166275"", ""44.70290756"", ""45.19136047""]",2,96,0,5,Coif1WaveletV3,eq_fcast,False,,
wavelet_trendae_search_r2_baseline,Coif1_bd192_eq_bcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'Coif1WaveletV3']",Weather-96,144,96,192,10,1,True,0,42,66.352753,1.041442,16.560707,2700.931396,nan,0.390010,0.312052,5469475,78.81,14,False,False,ReLU,EARLY_STOPPED,43.62718582,43.98059464,52.62337494,3,1.008101,False,"[""50.47505951"", ""45.86140060"", ""44.35414505"", ""43.62718582"", ""44.18470383"", ""44.97643280"", ""44.50977325"", ""44.44199371"", ""43.80945587"", ""44.84830093"", ""43.66376114"", ""44.46411896"", ""45.85886002"", ""43.98059464""]",2,192,0,3,Coif1WaveletV3,eq_bcast,False,,
wavelet_trendae_search_r2_baseline,Coif1_bd96_eq_fcast_ttd5,wavelet_trendae_search_round2,"['TrendAE', 'Coif1WaveletV3']",Weather-96,144,96,192,10,1,True,2,44,66.886696,0.962465,15.957502,2447.244629,nan,0.357432,0.224260,5226285,87.31,15,False,False,ReLU,MAX_EPOCHS,43.85022736,44.54990005,53.66900635,6,1.015956,False,"[""49.93588257"", ""46.04746628"", ""45.65982819"", ""44.16139221"", ""45.64127731"", ""44.70923233"", ""43.85022736"", ""45.46092987"", ""44.34478378"", ""44.09585571"", ""44.41979218"", ""43.91993713"", ""44.86636353"", ""44.08754730"", ""44.54990005""]",2,96,0,5,Coif1WaveletV3,eq_fcast,False,,
wavelet_trendae_search_r2_baseline,Coif1_bd192_eq_bcast_ttd3,wavelet_trendae_search_round2,"['TrendAE', 'Coif1WaveletV3']",Weather-96,144,96,192,10,1,True,1,43,65.891144,1.326317,14.834998,2183.013184,nan,0.445526,0.545213,5469475,73.47,13,False,False,ReLU,EARLY_STOPPED,42.87238693,45.02140427,52.99501419,2,1.050126,False,"[""46.80259705"", ""43.41882324"", ""42.87238693"", ""44.02687836"", ""43.93287277"", ""43.35599136"", ""43.61589432"", ""44.19739532"", ""44.04209137"", ""43.52428055"", ""44.32456207"", ""43.85239792"", ""45.02140427""]",2,192,0,3,Coif1WaveletV3,eq_bcast,False,,
