model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,192,960,3,1,1,2,0.277285,0.319653,4027.858154,18.422897,79.470352,3635712,706.96,26,EARLY_STOPPED,0.54148179,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,192,960,3,1,0,1,0.316636,0.317418,4736.412598,17.425795,75.287521,3635712,1482.8,55,EARLY_STOPPED,0.55458593,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,192,960,3,1,0,1,0.312616,0.313949,4540.377441,16.859596,74.290321,3643392,1209.63,45,EARLY_STOPPED,0.5540958,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,192,960,3,1,1,2,0.274551,0.317626,3984.278564,18.53483,80.580666,3643392,692.17,26,EARLY_STOPPED,0.55817574,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
NHiTSNet,Pool-16x8x1_Freq-1x1x1,weather,192,960,3,1,1,2,0.271159,0.313215,3421.664551,17.142851,77.590393,3827712,721.72,27,EARLY_STOPPED,0.55554169,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-1x1x1,weather,192,960,3,1,0,1,0.280874,0.308462,4093.768311,17.028267,73.623817,3827712,1041.05,39,EARLY_STOPPED,0.55610043,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[1, 1, 1]"
NHiTSNet,Pool-2x2x2_Freq-168x24x1,weather,336,1680,3,1,1,2,0.32987,0.359757,4938.709473,20.419535,85.042221,5126144,830.55,30,EARLY_STOPPED,0.49244988,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-168x24x1,weather,336,1680,3,1,0,1,0.331901,0.351614,5871.390625,19.917181,81.899155,5126144,1155.78,42,EARLY_STOPPED,0.50082034,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-24x12x1,weather,336,1680,3,1,0,1,0.316968,0.352706,4968.393555,21.366613,87.332794,5139456,717.53,26,EARLY_STOPPED,0.50879616,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[24, 12, 1]"
NHiTSNet,Pool-2x2x2_Freq-24x12x1,weather,336,1680,3,1,1,2,0.338035,0.36443,5582.496582,21.204279,87.504738,5139456,709.46,26,EARLY_STOPPED,0.49585268,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[24, 12, 1]"
NHiTSNet,Pool-2x2x2_Freq-1x1x1,weather,336,1680,3,1,0,1,0.331847,0.357921,4916.27832,20.35709,86.267975,5462016,723.8,27,EARLY_STOPPED,0.50202775,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[1, 1, 1]"
NHiTSNet,Pool-2x2x2_Freq-1x1x1,weather,336,1680,3,1,1,2,0.330212,0.354793,4670.98291,19.980658,84.544525,5462016,698.86,26,EARLY_STOPPED,0.50353473,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,336,1680,3,1,0,1,0.31712,0.349332,4711.724121,19.771185,83.206841,4588544,768.45,28,EARLY_STOPPED,0.50462621,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,336,1680,3,1,1,2,0.34276,0.358356,6466.193359,20.42585,83.585655,4588544,925.74,34,EARLY_STOPPED,0.49868333,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,336,1680,3,1,0,1,0.30901,0.338688,4390.162598,18.739176,79.501686,4601856,982.49,36,EARLY_STOPPED,0.48889565,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,336,1680,3,1,1,2,0.319745,0.34542,4622.450195,19.027147,81.751648,4601856,891.99,33,EARLY_STOPPED,0.48869136,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
NHiTSNet,Pool-16x8x1_Freq-1x1x1,weather,336,1680,3,1,0,1,0.322476,0.349702,4335.939941,19.147804,82.953171,4924416,844.49,32,EARLY_STOPPED,0.49363175,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-1x1x1,weather,336,1680,3,1,1,2,0.330653,0.358769,4721.147461,20.29661,84.659035,4924416,744.12,28,EARLY_STOPPED,0.49141309,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[1, 1, 1]"
NHiTSNet,Pool-2x2x2_Freq-168x24x1,weather,720,3600,3,1,1,2,0.421657,0.425508,8041.270996,27.465931,98.705864,8281088,1037.38,37,EARLY_STOPPED,0.77490741,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-168x24x1,weather,720,3600,3,1,0,1,0.386217,0.393967,6770.744141,25.397602,91.292801,8281088,1450.44,52,EARLY_STOPPED,0.77883619,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-24x12x1,weather,720,3600,3,1,1,2,0.427621,0.415187,12938.985352,28.312971,97.533836,8309760,1040.94,36,EARLY_STOPPED,0.77786022,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[24, 12, 1]"
NHiTSNet,Pool-2x2x2_Freq-24x12x1,weather,720,3600,3,1,0,1,0.401443,0.414236,8340.138672,27.928598,97.965523,8309760,1513.84,53,EARLY_STOPPED,0.78758079,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[24, 12, 1]"
NHiTSNet,Pool-2x2x2_Freq-1x1x1,weather,720,3600,3,1,0,1,0.429267,0.42356,7435.581055,27.094461,98.538948,9000960,766.88,27,EARLY_STOPPED,0.78561175,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,720,3600,3,1,0,1,0.41022,0.421129,7869.145508,28.147964,99.41378,7129088,721.24,26,EARLY_STOPPED,0.75900668,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
NHiTSNet,Pool-2x2x2_Freq-1x1x1,weather,720,3600,3,1,1,2,0.463917,0.425011,17126.324219,28.916666,98.929741,9000960,1368.27,49,EARLY_STOPPED,0.78081799,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 2]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,720,3600,3,1,0,1,0.392274,0.400949,6808.61084,26.134027,95.165031,7157760,751.72,27,EARLY_STOPPED,0.73778737,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
NHiTSNet,Pool-16x8x1_Freq-168x24x1,weather,720,3600,3,1,1,2,0.416589,0.421751,7059.472168,26.939875,97.381668,7129088,1196.78,43,EARLY_STOPPED,0.73194289,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[168, 24, 1]"
