model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample,sampling_style,steps_per_epoch,sampling_weights
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,0,1,0.175318,0.239521,2294.196533,15.410638,71.387741,2411520,124.44,4,MAX_EPOCHS,0.43538296,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,1,2,0.171262,0.227997,2190.570312,14.463741,66.724045,2411520,126.33,4,MAX_EPOCHS,0.43433157,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,2,3,0.169693,0.228895,2210.177002,14.594444,65.838425,2411520,125.12,4,MAX_EPOCHS,0.43257999,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,3,4,0.169272,0.230714,2220.873535,14.602612,68.845604,2411520,126.18,4,MAX_EPOCHS,0.41950285,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-Generic,weather,96,480,3,1,4,5,0.169013,0.229079,2332.152588,16.023333,69.420052,2411520,125.49,4,MAX_EPOCHS,0.43245110,MSELoss,False,True,0.7,0.1,True,['NHiTSGenericRoot'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,0,1,0.159083,0.214824,2274.963135,14.618255,64.192055,372825,88.32,4,MAX_EPOCHS,0.39691505,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,1,2,0.160662,0.216910,2314.051270,15.160309,62.915504,372825,88.54,4,MAX_EPOCHS,0.40266433,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,2,3,0.160890,0.217287,2389.188965,15.188698,64.444283,372825,87.92,4,MAX_EPOCHS,0.40317425,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,3,4,0.157965,0.213346,2279.722412,14.722410,62.430851,372825,91.24,4,MAX_EPOCHS,0.40553340,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAE,weather,96,480,3,1,4,5,0.165595,0.226438,2416.245850,15.786696,65.772446,372825,93.94,4,MAX_EPOCHS,0.41222697,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAE,weather,96,480,3,1,0,1,0.166370,0.221531,2255.686279,15.109305,64.728317,1674288,118.32,4,MAX_EPOCHS,0.40239146,MSELoss,False,True,0.7,0.1,True,['GenericAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAE,weather,96,480,3,1,1,2,0.167359,0.225671,2183.298584,15.162227,65.269218,1674288,113.97,4,MAX_EPOCHS,0.40929079,MSELoss,False,True,0.7,0.1,True,['GenericAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAE,weather,96,480,3,1,2,3,0.164142,0.223517,2229.817139,14.895750,67.066582,1674288,111.73,4,MAX_EPOCHS,0.40774769,MSELoss,False,True,0.7,0.1,True,['GenericAE'],,,sliding,,uniform
