model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample,sampling_style,steps_per_epoch,sampling_weights
NHiTSSliding,NHiTS-BottleneckGenericAELG,weather,96,480,3,1,0,1,0.161539,0.218115,2446.588379,15.751379,66.531395,805935,98.00,6,MAX_EPOCHS,0.40712297,MSELoss,False,True,0.7,0.1,True,['BottleneckGenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-BottleneckGenericAELG,weather,96,480,3,1,1,2,0.164306,0.223287,2601.851562,16.560507,66.974388,805935,90.12,6,MAX_EPOCHS,0.41143772,MSELoss,False,True,0.7,0.1,True,['BottleneckGenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-BottleneckGenericAELG,weather,96,480,3,1,2,3,0.164119,0.224789,2503.970215,16.645918,67.283134,805935,90.16,6,MAX_EPOCHS,0.41045725,MSELoss,False,True,0.7,0.1,True,['BottleneckGenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-BottleneckGenericAELG,weather,96,480,3,1,3,4,0.162556,0.225390,2480.113770,16.588720,69.061020,805935,89.83,6,MAX_EPOCHS,0.40647060,MSELoss,False,True,0.7,0.1,True,['BottleneckGenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-BottleneckGenericAELG,weather,96,480,3,1,4,5,0.161389,0.221006,2411.324219,15.555079,64.260818,805935,90.26,6,MAX_EPOCHS,0.41157416,MSELoss,False,True,0.7,0.1,True,['BottleneckGenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAELG,weather,96,480,3,1,1,2,0.161299,0.218453,2325.684814,14.864769,65.432693,372873,101.79,6,MAX_EPOCHS,0.40776151,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAELG,weather,96,480,3,1,2,3,0.160353,0.219403,2309.696777,15.164721,64.914062,372873,101.43,6,MAX_EPOCHS,0.40503055,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAELG,weather,96,480,3,1,3,4,0.157230,0.211979,2216.846680,14.150138,63.012772,372873,91.48,6,MAX_EPOCHS,0.39919233,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendWaveletAELG,weather,96,480,3,1,4,5,0.161173,0.217822,2306.600342,15.097337,63.756458,372873,91.70,6,MAX_EPOCHS,0.40406042,MSELoss,False,True,0.7,0.1,True,['TrendWaveletAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAELG,weather,96,480,3,1,0,1,0.164954,0.223380,2285.935547,15.493677,67.546371,1674336,86.67,6,MAX_EPOCHS,0.40169501,MSELoss,False,True,0.7,0.1,True,['GenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAELG,weather,96,480,3,1,1,2,0.163199,0.224639,2184.429688,15.353364,67.489044,1674336,85.46,6,MAX_EPOCHS,0.40523356,MSELoss,False,True,0.7,0.1,True,['GenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAELG,weather,96,480,3,1,2,3,0.165464,0.224920,2135.095459,14.430096,67.142197,1674336,86.44,6,MAX_EPOCHS,0.40482375,MSELoss,False,True,0.7,0.1,True,['GenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAELG,weather,96,480,3,1,3,4,0.167985,0.228352,2285.251465,15.309804,65.717819,1674336,86.07,6,MAX_EPOCHS,0.40549278,MSELoss,False,True,0.7,0.1,True,['GenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericAELG,weather,96,480,3,1,4,5,0.167809,0.226490,2303.054932,14.885797,64.229919,1674336,85.00,6,MAX_EPOCHS,0.40550283,MSELoss,False,True,0.7,0.1,True,['GenericAELG'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericVAE,weather,96,480,3,1,0,1,0.164927,0.218793,2264.424316,15.095683,62.959541,1865568,108.84,6,MAX_EPOCHS,0.42117822,MSELoss,False,True,0.7,0.1,True,['GenericVAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericVAE,weather,96,480,3,1,1,2,0.161220,0.216967,2427.390381,15.706338,61.259357,1865568,112.61,6,MAX_EPOCHS,0.39931270,MSELoss,False,True,0.7,0.1,True,['GenericVAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericVAE,weather,96,480,3,1,2,3,0.165132,0.227516,2520.455078,16.645960,65.676109,1865568,111.53,6,MAX_EPOCHS,0.40586784,MSELoss,False,True,0.7,0.1,True,['GenericVAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericVAE,weather,96,480,3,1,3,4,0.167223,0.224345,2470.897949,15.975144,62.064926,1865568,108.95,6,MAX_EPOCHS,0.41954577,MSELoss,False,True,0.7,0.1,True,['GenericVAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-GenericVAE,weather,96,480,3,1,4,5,0.164637,0.224916,2485.841064,15.932084,64.200653,1865568,110.68,6,MAX_EPOCHS,0.40973839,MSELoss,False,True,0.7,0.1,True,['GenericVAE'],,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAELG+Coif2V3AELG+GenericAELG,weather,96,480,3,1,0,1,0.165150,0.228692,2509.679443,16.564674,69.121208,1019235,86.61,6,MAX_EPOCHS,0.40364507,MSELoss,False,True,0.7,0.1,True,"['TrendAELG', 'Coif2WaveletV3AELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAELG+Coif2V3AELG+GenericAELG,weather,96,480,3,1,1,2,0.163821,0.222757,2298.824707,15.202059,64.889214,1019235,86.87,6,MAX_EPOCHS,0.40840951,MSELoss,False,True,0.7,0.1,True,"['TrendAELG', 'Coif2WaveletV3AELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAELG+Coif2V3AELG+GenericAELG,weather,96,480,3,1,2,3,0.165501,0.226895,2443.981445,15.850466,67.264351,1019235,83.90,6,MAX_EPOCHS,0.41266003,MSELoss,False,True,0.7,0.1,True,"['TrendAELG', 'Coif2WaveletV3AELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAELG+Coif2V3AELG+GenericAELG,weather,96,480,3,1,3,4,0.166032,0.225453,2463.088623,16.091825,67.595474,1019235,84.04,6,MAX_EPOCHS,0.41023478,MSELoss,False,True,0.7,0.1,True,"['TrendAELG', 'Coif2WaveletV3AELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAELG+Coif2V3AELG+GenericAELG,weather,96,480,3,1,4,5,0.164501,0.223095,2315.068848,15.389842,66.306770,1019235,86.78,6,MAX_EPOCHS,0.40113956,MSELoss,False,True,0.7,0.1,True,"['TrendAELG', 'Coif2WaveletV3AELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-Coif2WaveletV3AELG+TrendAELG+GenericAELG,weather,96,480,3,1,0,1,0.164840,0.229616,2387.030029,16.079309,68.918678,1019235,86.70,6,MAX_EPOCHS,0.39842960,MSELoss,False,True,0.7,0.1,True,"['Coif2WaveletV3AELG', 'TrendAELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-Coif2WaveletV3AELG+TrendAELG+GenericAELG,weather,96,480,3,1,1,2,0.165833,0.226323,2478.265625,16.234034,67.401711,1019235,85.08,6,MAX_EPOCHS,0.40326571,MSELoss,False,True,0.7,0.1,True,"['Coif2WaveletV3AELG', 'TrendAELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-Coif2WaveletV3AELG+TrendAELG+GenericAELG,weather,96,480,3,1,2,3,0.170214,0.231357,2355.342285,15.222287,67.115105,1019235,83.52,6,MAX_EPOCHS,0.41066024,MSELoss,False,True,0.7,0.1,True,"['Coif2WaveletV3AELG', 'TrendAELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-Coif2WaveletV3AELG+TrendAELG+GenericAELG,weather,96,480,3,1,3,4,0.167611,0.229336,2413.436768,16.052204,67.209808,1019235,87.03,6,MAX_EPOCHS,0.41110304,MSELoss,False,True,0.7,0.1,True,"['Coif2WaveletV3AELG', 'TrendAELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-Coif2WaveletV3AELG+TrendAELG+GenericAELG,weather,96,480,3,1,4,5,0.166555,0.228452,2318.719727,15.654405,66.842010,1019235,89.16,6,MAX_EPOCHS,0.40339634,MSELoss,False,True,0.7,0.1,True,"['Coif2WaveletV3AELG', 'TrendAELG', 'GenericAELG']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+GenericAE+Coif2WaveletV3AE,weather,96,480,3,1,0,1,0.168495,0.233986,2425.877197,16.361723,69.591286,1019187,84.58,6,MAX_EPOCHS,0.41268167,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'GenericAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
